model_year,milage,accident,clean_title,price,turbo,brand_encoded,engine_score
2014,52000.0,1,1,37000.0,0,5,-0.2220057720057719
2011,137200.0,0,1,12000.0,0,3,-0.010966810966810897
2018,36000.0,1,1,32000.0,0,2,-0.4875901875901876
2023,15500.0,1,1,24500.0,0,3,-0.8328282828282828
2020,10906.0,0,0,96998.0,1,4,0.6022366522366523
2019,49814.0,0,0,26545.0,1,3,-0.42886002886002883
2015,846.0,0,1,86999.0,0,4,-0.5085858585858586
2021,67039.0,0,0,34645.0,0,3,0.0
2023,2636.0,0,0,28535.0,0,2,-0.58008658008658
2018,50166.0,1,1,43550.0,0,5,-0.03167388167388157
2017,37375.0,0,1,27500.0,0,3,0.1210678210678211
2021,21600.0,0,1,31000.0,0,5,-0.3749639249639249
2019,9500.0,1,1,69000.0,0,5,-0.2737373737373737
2005,143095.0,0,1,16000.0,0,4,0.7756132756132756
2002,80000.0,1,1,8500.0,0,3,-0.7066378066378066
2021,3000.0,0,1,275000.0,0,6,0.9598124098124098
2007,5856.0,0,1,45000.0,0,5,-0.0683261183261183
2013,2958.0,0,1,488880.0,0,6,0.8825396825396826
2022,28927.0,0,0,74900.0,1,4,0.7360750360750362
2022,4102.0,0,1,144664.0,0,5,0.9559163059163059
2021,14442.0,0,1,38500.0,0,2,-0.08888888888888885
2005,64000.0,0,1,12995.0,0,5,0.39076479076479087
2004,154000.0,1,1,10000.0,0,4,0.18578643578643586
2015,54000.0,0,1,27000.0,0,4,-0.6233044733044734
2007,232492.0,1,1,6000.0,0,3,-0.22525252525252518
2020,25721.0,0,1,52645.0,1,6,0.07662337662337662
2020,20927.0,0,0,35998.0,0,5,-0.42886002886002883
2021,2353.0,0,1,159500.0,1,6,0.7360750360750362
2022,9325.0,0,0,33610.0,1,4,-0.42886002886002883
2020,61001.0,1,1,28616.0,1,4,-0.5135642135642136
2018,71962.0,0,1,46900.0,0,5,0.6368686868686869
2023,5800.0,0,1,29990.0,0,2,-0.5793650793650794
2016,40080.0,0,1,28499.0,0,4,-0.08131313131313127
2020,57000.0,1,1,36500.0,0,3,0.0831890331890332
2022,7624.0,0,1,31985.0,0,4,0.08917581666424886
2004,122000.0,1,1,9999.0,0,2,-0.607070707070707
2023,459.0,0,0,36998.0,0,3,-0.58008658008658
