model_year,milage,accident,clean_title,price,horsepower,turbo,is_luxury,is_upper_class
2017,55000.0,1,1,58000,380.0,0,0,0
2008,75000.0,1,1,29000,416.0,0,0,0
2016,90360.0,1,1,15499,220.0,0,0,0
2020,39611.0,0,0,89900,,1,0,1
2003,14900.0,1,0,32850,420.0,0,1,0
2014,71000.0,1,1,16700,240.0,0,0,0
2020,32744.0,0,1,24000,182.0,0,0,0
2017,80150.0,1,1,22500,293.0,0,0,0
2005,146000.0,1,1,15900,190.0,0,0,0
2022,11650.0,0,1,32300,276.0,0,0,0
2022,12080.0,0,1,36750,271.0,0,0,1
2017,74000.0,0,1,19800,275.0,0,0,0
2023,3752.0,0,1,84620,,0,0,0
2019,28663.0,0,0,29500,,1,0,0
2008,170000.0,0,1,5199,126.0,0,0,0
2015,92000.0,0,1,28000,301.0,0,0,0
1996,160490.0,0,1,15500,,0,0,0
2019,35500.0,0,1,32300,460.0,0,0,0
2008,125470.0,0,1,8000,360.0,0,0,0
2020,55018.0,1,1,25500,170.0,0,0,0
2018,71000.0,1,1,17500,212.0,0,0,0
2021,9472.0,0,1,51000,255.0,0,0,0
2022,36294.0,1,0,77535,,1,0,0
2008,25025.0,1,1,39000,380.0,0,1,0
2012,111564.0,0,1,11200,200.0,0,0,0
2014,19700.0,0,1,13500,189.0,0,0,0
2019,38900.0,0,1,34700,308.0,0,0,0
2021,41800.0,0,1,44900,260.0,0,0,1
2001,111000.0,0,1,11000,200.0,0,0,0
2009,139000.0,0,1,14500,300.0,0,0,0
2014,43690.0,0,1,23500,402.0,0,0,0
2019,42626.0,0,1,42000,485.0,0,0,0
2020,10500.0,0,1,36000,250.0,0,0,0
2016,84421.0,0,1,36800,360.0,0,0,0
2022,4200.0,0,1,65994,315.0,0,0,0
2021,3000.0,0,1,49500,460.0,0,0,0
2013,72500.0,0,1,31450,429.0,0,0,0
2017,62000.0,0,1,34500,455.0,0,0,0
2005,94000.0,0,1,19500,300.0,0,0,0
2013,134000.0,1,1,29995,383.0,0,0,0
2023,12000.0,0,1,54000,275.0,0,0,0
2015,167500.0,0,1,18000,355.0,0,0,0
2014,30000.0,0,1,78500,400.0,0,0,1
2016,99915.0,1,1,26500,340.0,0,0,0
2010,232000.0,0,1,3000,292.0,0,0,0
2020,137000.0,0,1,46000,355.0,0,0,0
2016,77000.0,1,1,24000,329.0,0,0,0
2012,61000.0,0,1,29000,416.0,0,0,1
2015,136390.0,0,1,20470,,0,0,0
2010,97395.0,0,1,6699,172.0,0,0,0
2012,45000.0,0,1,41500,556.0,0,0,0
2020,5541.0,0,0,56598,,1,0,0
2017,65000.0,1,1,65000,381.0,0,0,0
2011,84900.0,1,0,22450,390.0,0,0,0
2019,52253.0,0,1,34500,228.0,0,0,0
2003,138202.0,1,1,22550,,0,0,1
2021,14526.0,0,0,79998,,1,0,1
2018,28644.0,1,0,41500,505.0,0,0,0
2018,25348.0,1,0,33889,,1,0,0
2021,14745.0,0,0,38998,,1,0,0
2022,4004.0,0,1,25500,186.0,0,0,0
2014,161894.0,0,1,18900,400.0,0,0,0
2014,46628.0,0,0,15363,,0,0,0
2010,179700.0,1,1,4500,172.0,0,0,0
2017,54423.0,0,1,33950,424.0,0,0,0
2016,36000.0,1,1,31000,435.0,0,0,0
2021,6785.0,0,0,108900,,0,0,1
2022,15607.0,0,0,45999,,0,0,1
2019,9500.0,0,1,135000,630.0,0,0,0
2015,116612.0,1,1,12700,311.0,0,0,0
2023,1335.0,0,1,272950,,1,1,0
2017,55000.0,0,1,25000,340.0,0,0,0
2023,8911.0,1,1,77430,,1,0,0
2020,5072.0,0,1,279950,,1,1,0
2021,18000.0,0,1,42500,,0,0,1
2002,192100.0,1,1,6450,207.0,0,0,0
2023,16800.0,0,1,45000,295.0,0,0,0
2020,48613.0,1,1,61500,420.0,0,0,0
2013,86000.0,0,1,32000,560.0,0,0,0
2018,8660.0,0,1,45000,455.0,0,0,0
2021,20069.0,0,0,229900,,1,1,0
2022,9000.0,0,1,115000,575.0,0,0,0
2009,180036.0,1,1,9100,202.0,0,0,0
2016,42750.0,1,1,22999,208.0,0,0,0
1997,206000.0,1,1,15900,190.0,0,0,0
2012,50000.0,0,1,26497,425.0,0,0,0
2021,22400.0,0,1,81900,471.0,0,0,0
